CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V94549,177,0.005,0.042,4.51,0.58,0.054000000000000006,0.045,351,51,1436.0,10,5,0.016
V94548,160,0.005,0.048,4.56,0.58,0.06,0.045,383,54,1388.3496882179193,10,0,0.011000000000000001
V94547,170,0.005,0.045,4.57,0.631,0.067,0.046,367,53,1388.3496882179193,11,5,0.008
V94546,160,0.005,0.045,4.55,0.603,0.062,0.047,388,55,1389.0,10,7,0.008
V94545,155,0.005,0.043,4.52,0.617,0.059000000000000004,0.045,357,50,1427.0,9,4,0.011000000000000001
V94544,159,0.005,0.040999999999999995,4.58,0.56,0.057,0.043,347,50,1373.0,10,5,0.008
V94543,166,0.005,0.043,4.57,0.461,0.054000000000000006,0.043,365,52,1365.0,9,6,0.011000000000000001
V94541,164,0.005,0.039,4.58,0.711,0.065,0.044000000000000004,328,47,1346.0,10,4,0.006999999999999999
V94539,174,0.005,0.044000000000000004,4.54,0.5870000000000001,0.06,0.046,361,52,1415.0,11,5,0.006
V94538,160,0.005,0.04,4.59,0.56,0.06,0.046,344,48,1490.0,10,4,0.008
V94534,168,0.005,0.034,4.54,0.72,0.067,0.043,315,44,1384.0,8,4,0.005
V94531,163,0.005,0.02,4.52,1.36,0.128,0.05,250,39,1371.0,7,3,0.018000000000000002
V94530,168,0.005,0.043,4.48,0.61,0.064,0.043,362,52,1411.0,9,6,0.011000000000000001
V94529,163,0.005,0.046,4.51,0.495,0.057999999999999996,0.043,362,51,1433.0,11,5,0.01
V94528,162,0.005,0.034,4.54,0.52,0.059000000000000004,0.042,310,44,1309.0,9,4,0.006999999999999999
V94527,160,0.005,0.039,4.61,0.5,0.055999999999999994,0.042,336,46,1364.0,8,5,0.011000000000000001
V94526,164,0.005,0.043,4.5,0.47700000000000004,0.054000000000000006,0.042,333,49,1567.0,10,5,0.009000000000000001
V94525,161,0.005,0.02,4.54,1.1,0.12,0.05,247,34,1398.0,6,3,0.006999999999999999
