,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
1507,V97804,156,0.005,0.040999999999999995,4.5,0.742,0.077,0.043,351,49,1409.0,8,4,0.006999999999999999
1508,V97803,163,0.005,0.04,4.57,0.5660000000000001,0.068,0.042,345,49,1389.0,8,4,0.005
1509,V97801,158,0.005,0.039,4.55,0.508,0.062,0.040999999999999995,346,48,1359.0,9,4,0.009000000000000001
1510,V97800,158,0.005,0.036000000000000004,4.56,0.457,0.062,0.040999999999999995,323,45,1374.0,8,4,0.008
1511,V97799,164,0.005,0.033,4.58,0.531,0.062,0.043,297,41,1413.0,8,4,0.006999999999999999
1512,V97798,156,0.005,0.032,4.55,0.43799999999999994,0.063,0.043,302,43,1415.0,8,4,0.009000000000000001
1513,V97797,161,0.005,0.027999999999999997,4.56,0.518,0.069,0.044000000000000004,283,40,1388.0,7,3,0.008
1514,V97796,156,0.005,0.03,4.59,0.49700000000000005,0.069,0.043,297,42,1365.0,8,4,0.009000000000000001
1515,V97794,150,0.005,0.037000000000000005,4.64,0.467,0.064,0.040999999999999995,335,46,1333.0,8,4,0.008
1516,V97793,165,0.005,0.027999999999999997,4.59,0.624,0.071,0.044000000000000004,286,42,1394.0,8,4,0.006999999999999999
1517,V97792,151,0.005,0.03,4.54,0.591,0.068,0.043,302,41,1450.0,8,3,0.009000000000000001
1518,V97791,149,0.005,0.040999999999999995,4.58,0.706,0.077,0.040999999999999995,346,48,1354.0,9,4,0.009000000000000001
1519,V97790,173,0.005,0.039,4.64,0.58,0.066,0.044000000000000004,476,49,1405.0,11,5,0.004
1520,V97789,170,0.005,0.032,4.62,0.5529999999999999,0.066,0.044000000000000004,306,43,1440.0,8,4,0.006
1521,V97785,176,0.005,0.043,4.57,0.6609999999999999,0.076,0.043,359,51,1425.0,10,5,0.004
1522,V97786,180,0.005,0.037000000000000005,4.59,0.7020000000000001,0.081,0.043,350,56,1407.0,9,5,0.005
1523,V97784,155,0.005,0.033,4.58,0.92,0.09699999999999999,0.042,417,71,1413.0,11,6,0.008
1524,V97781,167,0.005,0.034,4.57,0.55,0.067,0.043,326,50,1405.0,8,5,0.01
1525,V97780,162,0.005,0.032,4.62,0.9,0.094,0.042,307,43,1378.0,8,4,0.005
1526,V97777,167,0.005,0.045,4.58,0.55,0.068,0.039,369,53,1364.0,9,6,0.008
1527,V97774,180,0.005,0.052000000000000005,4.62,0.8,0.081,0.04,402,58,1414.0,10,6,0.005
1528,V97773,164,0.005,0.03,4.68,1.1,0.109,0.042,346,48,1439.0,9,4,0.005
